Loan_ID;Gender;Married;Dependents;Education;Self_Employed;ApplicantIncome;CoapplicantIncome;LoanAmount;Loan_Amount_Term;Credit_History;Property_Area;Loan_Status;Predicted_Loan_Status;TotalIncome;loan_amount_prediction;Applicant_First_Name;Image
LP001693;Female;No;0.0;Graduate;No;3244.0;0.0;80.0;360.0;1.0;Urban;Y;Y;3244.0;93.47;Nancy;C:/Users/mutem/Downloads/LoanApp/Female\0 (1008).jpg
LP001514;Female;Yes;0.0;Graduate;No;2330.0;4486.0;100.0;360.0;1.0;Semiurban;Y;Y;6816.0;109.54313672922252;Stephanie;C:/Users/mutem/Downloads/LoanApp/Female\0 (1030).jpg
LP002606;Female;No;0.0;Graduate;No;3159.0;0.0;100.0;360.0;1.0;Semiurban;Y;Y;3159.0;53.88;Dorothy;C:/Users/mutem/Downloads/LoanApp/Female\0 (1015).jpg
LP002377;Female;No;1.0;Graduate;Yes;3357.0;0.0;150.0;360.0;1.0;Semiurban;Y;Y;3357.0;121.73788999888998;Deborah;C:/Users/mutem/Downloads/LoanApp/Female\0 (1027).jpg
LP002367;Female;No;1.0;Not Graduate;No;4606.0;0.0;81.0;360.0;1.0;Rural;N;N;4606.0;88.09;Linda;C:/Users/mutem/Downloads/LoanApp/Female\0 (10).jpeg
LP001327;Female;Yes;0.0;Graduate;No;2484.0;2302.0;137.0;360.0;1.0;Semiurban;Y;Y;4786.0;132.26914209115282;Melissa;C:/Users/mutem/Downloads/LoanApp/Female\0 (1026).jpg
LP002144;Female;No;0.0;Graduate;No;3813.0;0.0;116.0;360.0;1.0;Urban;Y;Y;3813.0;110.14;Michelle;C:/Users/mutem/Downloads/LoanApp/Female\0 (1023).jpg
LP002287;Female;No;0.0;Graduate;No;1500.0;1800.0;103.0;360.0;0.0;Semiurban;N;N;3300.0;92.56;Sarah;C:/Users/mutem/Downloads/LoanApp/Female\0 (1003).jpg
LP002209;Female;No;0.0;Graduate;No;2764.0;1459.0;110.0;360.0;1.0;Urban;Y;Y;4223.0;90.94;Betty;C:/Users/mutem/Downloads/LoanApp/Female\0 (1013).jpg
LP001112;Female;Yes;0.0;Graduate;No;3667.0;1459.0;144.0;360.0;1.0;Semiurban;Y;Y;5126.0;113.61142091152811;Rebecca;C:/Users/mutem/Downloads/LoanApp/Female\0 (1033).jpg
LP001265;Female;No;0.0;Graduate;No;3846.0;0.0;111.0;360.0;1.0;Semiurban;Y;Y;3846.0;91.33;Carol;C:/Users/mutem/Downloads/LoanApp/Female\0 (1024).jpg
LP002917;Female;No;0.0;Not Graduate;No;2165.0;0.0;70.0;360.0;1.0;Semiurban;Y;Y;2165.0;61.83916666666666;Elizabeth;C:/Users/mutem/Downloads/LoanApp/Female\0 (10).jpg
LP002794;Female;No;0.0;Graduate;No;2667.0;1267.0052892249037;84.0;360.0;0.8376068376068376;Urban;Y;Y;3934.005289224904;97.98;Jennifer;C:/Users/mutem/Downloads/LoanApp/Female\0 (1).png
LP002407;Female;Yes;0.0;Not Graduate;Yes;3357.0;0.0;138.0;360.0;1.0;Rural;Y;Y;3357.0;121.73788999888998;Patricia;C:/Users/mutem/Downloads/LoanApp/Female\0 (1).jpg
LP002603;Female;No;0.0;Graduate;No;645.0;3683.0;113.0;360.0;1.0;Rural;Y;Y;4328.0;115.48;Karen;C:/Users/mutem/Downloads/LoanApp/Female\0 (1004).jpg
